b_number,cog_letter,name,gene_product,go_class,go_term,cog_class,cog_category
b0804,S,ybix,PKHD-type hydroxylase YbiX,process,cellular iron ion homeostasis,Poorly Characterized,Function unknown
b0804,S,ybix,PKHD-type hydroxylase YbiX,process,oxidation-reduction process,Poorly Characterized,Function unknown
b0804,S,ybix,PKHD-type hydroxylase YbiX,component,cell,Poorly Characterized,Function unknown
b0804,S,ybix,PKHD-type hydroxylase YbiX,component,cytosol,Poorly Characterized,Function unknown
b0804,S,ybix,PKHD-type hydroxylase YbiX,function,dioxygenase activity,Poorly Characterized,Function unknown
b0804,S,ybix,PKHD-type hydroxylase YbiX,function,2-oxoglutarate-dependent dioxygenase activity,Poorly Characterized,Function unknown
b0804,S,ybix,PKHD-type hydroxylase YbiX,function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",Poorly Characterized,Function unknown
b0804,S,ybix,PKHD-type hydroxylase YbiX,function,iron ion binding,Poorly Characterized,Function unknown
b0804,S,ybix,PKHD-type hydroxylase YbiX,function,metal ion binding,Poorly Characterized,Function unknown
b0804,S,ybix,PKHD-type hydroxylase YbiX,function,L-ascorbic acid binding,Poorly Characterized,Function unknown
b0804,S,ybix,PKHD-type hydroxylase YbiX,function,oxidoreductase activity,Poorly Characterized,Function unknown
b0824,O,ybiy,putative pyruvate formate-lyase activating enzyme YbiY,process,oxidation-reduction process,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0824,O,ybiy,putative pyruvate formate-lyase activating enzyme YbiY,component,cytosol,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0824,O,ybiy,putative pyruvate formate-lyase activating enzyme YbiY,component,cytoplasm,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0824,O,ybiy,putative pyruvate formate-lyase activating enzyme YbiY,function,catalytic activity,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0824,O,ybiy,putative pyruvate formate-lyase activating enzyme YbiY,function,"4 iron, 4 sulfur cluster binding",Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0824,O,ybiy,putative pyruvate formate-lyase activating enzyme YbiY,function,iron-sulfur cluster binding,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0824,O,ybiy,putative pyruvate formate-lyase activating enzyme YbiY,function,metal ion binding,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0824,O,ybiy,putative pyruvate formate-lyase activating enzyme YbiY,function,[formate-C-acetyltransferase]-activating enzyme activity,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0824,O,ybiy,putative pyruvate formate-lyase activating enzyme YbiY,function,oxidoreductase activity,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0850,No Annotation,ybjc,DUF1418 domain-containing protein YbjC,process,response to paraquat,No Annotation,No Annotation
b0850,No Annotation,ybjc,DUF1418 domain-containing protein YbjC,process,response to butan-1-ol,No Annotation,No Annotation
b0850,No Annotation,ybjc,DUF1418 domain-containing protein YbjC,component,membrane,No Annotation,No Annotation
b0850,No Annotation,ybjc,DUF1418 domain-containing protein YbjC,function,No Ontology,No Annotation,No Annotation
b0876,L,ybjd,DUF2813 domain-containing protein YbjD,process,double-strand break repair,Information Storage and Processing,"Replication, recombination and repair"
b0876,L,ybjd,DUF2813 domain-containing protein YbjD,process,DNA synthesis involved in DNA repair,Information Storage and Processing,"Replication, recombination and repair"
b0876,L,ybjd,DUF2813 domain-containing protein YbjD,component,cytosol,Information Storage and Processing,"Replication, recombination and repair"
b0876,L,ybjd,DUF2813 domain-containing protein YbjD,function,ATP binding,Information Storage and Processing,"Replication, recombination and repair"
b0876,L,ybjd,DUF2813 domain-containing protein YbjD,function,nucleotide binding,Information Storage and Processing,"Replication, recombination and repair"
b0841,I,ybjg,undecaprenyl pyrophosphate phosphatase,process,cell wall organization,Metabolism,Lipid transport and metabolism
b0841,I,ybjg,undecaprenyl pyrophosphate phosphatase,process,response to antibiotic,Metabolism,Lipid transport and metabolism
b0841,I,ybjg,undecaprenyl pyrophosphate phosphatase,process,regulation of cell shape,Metabolism,Lipid transport and metabolism
b0841,I,ybjg,undecaprenyl pyrophosphate phosphatase,process,peptidoglycan biosynthetic process,Metabolism,Lipid transport and metabolism
b0841,I,ybjg,undecaprenyl pyrophosphate phosphatase,component,plasma membrane,Metabolism,Lipid transport and metabolism
b0841,I,ybjg,undecaprenyl pyrophosphate phosphatase,component,integral component of membrane,Metabolism,Lipid transport and metabolism
b0841,I,ybjg,undecaprenyl pyrophosphate phosphatase,component,membrane,Metabolism,Lipid transport and metabolism
b0841,I,ybjg,undecaprenyl pyrophosphate phosphatase,function,hydrolase activity,Metabolism,Lipid transport and metabolism
b0841,I,ybjg,undecaprenyl pyrophosphate phosphatase,function,undecaprenyl-diphosphatase activity,Metabolism,Lipid transport and metabolism
b0843,No Annotation,ybjh,uncharacterized protein YbjH,process,No Ontology,No Annotation,No Annotation
b0843,No Annotation,ybjh,uncharacterized protein YbjH,component,No Ontology,No Annotation,No Annotation
b0843,No Annotation,ybjh,uncharacterized protein YbjH,function,No Ontology,No Annotation,No Annotation
b0844,R,ybji,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,process,dephosphorylation,Poorly Characterized,General function prediction only
b0844,R,ybji,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,process,riboflavin biosynthetic process,Poorly Characterized,General function prediction only
b0844,R,ybji,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,component,cytosol,Poorly Characterized,General function prediction only
b0844,R,ybji,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,function,5-amino-6-(5-phosphoribitylamino)uracil phosphatase activity,Poorly Characterized,General function prediction only
b0844,R,ybji,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,function,metal ion binding,Poorly Characterized,General function prediction only
b0844,R,ybji,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,function,magnesium ion binding,Poorly Characterized,General function prediction only
b0844,R,ybji,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,function,hydrolase activity,Poorly Characterized,General function prediction only
b0844,R,ybji,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,function,phosphatase activity,Poorly Characterized,General function prediction only
b0845,No Annotation,ybjj,inner membrane protein YbjJ,process,transmembrane transport,No Annotation,No Annotation
b0845,No Annotation,ybjj,inner membrane protein YbjJ,component,plasma membrane,No Annotation,No Annotation
b0845,No Annotation,ybjj,inner membrane protein YbjJ,component,integral component of membrane,No Annotation,No Annotation
b0845,No Annotation,ybjj,inner membrane protein YbjJ,component,membrane,No Annotation,No Annotation
b0845,No Annotation,ybjj,inner membrane protein YbjJ,function,No Ontology,No Annotation,No Annotation
b0847,R,ybjl,putative transport protein YbjL,process,transmembrane transport,Poorly Characterized,General function prediction only
b0847,R,ybjl,putative transport protein YbjL,process,cation transmembrane transport,Poorly Characterized,General function prediction only
b0847,R,ybjl,putative transport protein YbjL,process,potassium ion transport,Poorly Characterized,General function prediction only
b0847,R,ybjl,putative transport protein YbjL,component,plasma membrane,Poorly Characterized,General function prediction only
b0847,R,ybjl,putative transport protein YbjL,component,integral component of membrane,Poorly Characterized,General function prediction only
b0847,R,ybjl,putative transport protein YbjL,component,membrane,Poorly Characterized,General function prediction only
b0847,R,ybjl,putative transport protein YbjL,function,transmembrane transporter activity,Poorly Characterized,General function prediction only
b0847,R,ybjl,putative transport protein YbjL,function,cation transmembrane transporter activity,Poorly Characterized,General function prediction only
b0848,No Annotation,ybjm,putative inner membrane protein,process,No Ontology,No Annotation,No Annotation
b0848,No Annotation,ybjm,putative inner membrane protein,component,plasma membrane,No Annotation,No Annotation
b0848,No Annotation,ybjm,putative inner membrane protein,component,integral component of membrane,No Annotation,No Annotation
b0848,No Annotation,ybjm,putative inner membrane protein,component,membrane,No Annotation,No Annotation
b0848,No Annotation,ybjm,putative inner membrane protein,function,No Ontology,No Annotation,No Annotation
b0853,No Annotation,ybjn,protein YbjN,process,negative regulation of bacterial-type flagellum assembly,No Annotation,No Annotation
b0853,No Annotation,ybjn,protein YbjN,process,response to ionizing radiation,No Annotation,No Annotation
b0853,No Annotation,ybjn,protein YbjN,process,regulation of bacterial-type flagellum assembly,No Annotation,No Annotation
b0853,No Annotation,ybjn,protein YbjN,process,negative regulation of single-species biofilm formation on inanimate substrate,No Annotation,No Annotation
b0853,No Annotation,ybjn,protein YbjN,process,negative regulation of cell growth,No Annotation,No Annotation
b0853,No Annotation,ybjn,protein YbjN,process,pilus assembly,No Annotation,No Annotation
b0853,No Annotation,ybjn,protein YbjN,process,negative regulation of bacterial-type flagellum-dependent cell motility,No Annotation,No Annotation
b0853,No Annotation,ybjn,protein YbjN,component,cytosol,No Annotation,No Annotation
b0853,No Annotation,ybjn,protein YbjN,function,protein binding,No Annotation,No Annotation
b0858,No Annotation,ybjo,putative inner membrane protein,process,No Ontology,No Annotation,No Annotation
b0858,No Annotation,ybjo,putative inner membrane protein,component,plasma membrane,No Annotation,No Annotation
b0858,No Annotation,ybjo,putative inner membrane protein,component,integral component of membrane,No Annotation,No Annotation
b0858,No Annotation,ybjo,putative inner membrane protein,component,membrane,No Annotation,No Annotation
b0858,No Annotation,ybjo,putative inner membrane protein,function,No Ontology,No Annotation,No Annotation
b0865,No Annotation,ybjp,DUF3828 domain-containing lipoprotein YbjP,process,No Ontology,No Annotation,No Annotation
b0865,No Annotation,ybjp,DUF3828 domain-containing lipoprotein YbjP,component,plasma membrane,No Annotation,No Annotation
b0865,No Annotation,ybjp,DUF3828 domain-containing lipoprotein YbjP,component,membrane,No Annotation,No Annotation
b0865,No Annotation,ybjp,DUF3828 domain-containing lipoprotein YbjP,function,No Ontology,No Annotation,No Annotation
b0866,S,ybjq,putative heavy metal binding protein YbjQ,process,No Ontology,Poorly Characterized,Function unknown
b0866,S,ybjq,putative heavy metal binding protein YbjQ,component,cytosol,Poorly Characterized,Function unknown
b0866,S,ybjq,putative heavy metal binding protein YbjQ,function,protein binding,Poorly Characterized,Function unknown
b0868,M,ybjs,putative NAD(P)H-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain,process,No Ontology,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis
b0868,M,ybjs,putative NAD(P)H-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain,component,cytosol,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis
b0868,M,ybjs,putative NAD(P)H-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain,function,coenzyme binding,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis
b0868,M,ybjs,putative NAD(P)H-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain,function,catalytic activity,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis
b0869,M,ybjt,putative NAD(P)-dependent oxidoreductase YbjT,process,No Ontology,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis
b0869,M,ybjt,putative NAD(P)-dependent oxidoreductase YbjT,component,integral component of membrane,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis
b0869,M,ybjt,putative NAD(P)-dependent oxidoreductase YbjT,component,membrane,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis
b0869,M,ybjt,putative NAD(P)-dependent oxidoreductase YbjT,component,plasma membrane,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis
b0869,M,ybjt,putative NAD(P)-dependent oxidoreductase YbjT,function,No Ontology,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis
b0877,S,ybjx,DUF535 domain-containing protein YbjX,process,cellular response to DNA damage stimulus,Poorly Characterized,Function unknown
b0877,S,ybjx,DUF535 domain-containing protein YbjX,component,cytosol,Poorly Characterized,Function unknown
b0877,S,ybjx,DUF535 domain-containing protein YbjX,function,No Ontology,Poorly Characterized,Function unknown
b0897,Q,ycac,putative hydrolase,process,No Ontology,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism"
b0897,Q,ycac,putative hydrolase,component,cytosol,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism"
b0897,Q,ycac,putative hydrolase,function,lyase activity,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism"
b0897,Q,ycac,putative hydrolase,function,identical protein binding,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism"
b0897,Q,ycac,putative hydrolase,function,catalytic activity,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism"
b0897,Q,ycac,putative hydrolase,function,hydrolase activity,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism"
b0898,No Annotation,ycad,putative transporter YcaD,process,transmembrane transport,No Annotation,No Annotation
b0898,No Annotation,ycad,putative transporter YcaD,component,plasma membrane,No Annotation,No Annotation
b0898,No Annotation,ycad,putative transporter YcaD,component,integral component of membrane,No Annotation,No Annotation
b0898,No Annotation,ycad,putative transporter YcaD,component,membrane,No Annotation,No Annotation
b0898,No Annotation,ycad,putative transporter YcaD,function,transmembrane transporter activity,No Annotation,No Annotation
b0913,No Annotation,ycai,metallo-&beta;-lactamase superfamily inner membrane protein YcaI,process,establishment of competence for transformation,No Annotation,No Annotation
b0913,No Annotation,ycai,metallo-&beta;-lactamase superfamily inner membrane protein YcaI,component,plasma membrane,No Annotation,No Annotation
b0913,No Annotation,ycai,metallo-&beta;-lactamase superfamily inner membrane protein YcaI,component,integral component of membrane,No Annotation,No Annotation
b0913,No Annotation,ycai,metallo-&beta;-lactamase superfamily inner membrane protein YcaI,component,membrane,No Annotation,No Annotation
b0913,No Annotation,ycai,metallo-&beta;-lactamase superfamily inner membrane protein YcaI,function,No Ontology,No Annotation,No Annotation
b0901,R,ycak,putative NAD(P)H-dependent oxidoreductase YcaK,process,electron transport chain,Poorly Characterized,General function prediction only
b0901,R,ycak,putative NAD(P)H-dependent oxidoreductase YcaK,process,oxidation-reduction process,Poorly Characterized,General function prediction only
b0901,R,ycak,putative NAD(P)H-dependent oxidoreductase YcaK,component,cytosol,Poorly Characterized,General function prediction only
b0901,R,ycak,putative NAD(P)H-dependent oxidoreductase YcaK,function,electron transfer activity,Poorly Characterized,General function prediction only
b0901,R,ycak,putative NAD(P)H-dependent oxidoreductase YcaK,function,NAD(P)H dehydrogenase (quinone) activity,Poorly Characterized,General function prediction only
b0901,R,ycak,putative NAD(P)H-dependent oxidoreductase YcaK,function,FMN binding,Poorly Characterized,General function prediction only
b0901,R,ycak,putative NAD(P)H-dependent oxidoreductase YcaK,function,oxidoreductase activity,Poorly Characterized,General function prediction only
b0909,O,ycal,periplasmic protease YcaL,process,proteolysis involved in cellular protein catabolic process,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0909,O,ycal,periplasmic protease YcaL,process,proteolysis,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0909,O,ycal,periplasmic protease YcaL,component,membrane,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0909,O,ycal,periplasmic protease YcaL,component,plasma membrane,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0909,O,ycal,periplasmic protease YcaL,component,outer membrane-bounded periplasmic space,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0909,O,ycal,periplasmic protease YcaL,component,extracellular region,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0909,O,ycal,periplasmic protease YcaL,function,protein binding,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0909,O,ycal,periplasmic protease YcaL,function,metalloendopeptidase activity,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0909,O,ycal,periplasmic protease YcaL,function,metal ion binding,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0909,O,ycal,periplasmic protease YcaL,function,hydrolase activity,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0909,O,ycal,periplasmic protease YcaL,function,metallopeptidase activity,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0909,O,ycal,periplasmic protease YcaL,function,peptidase activity,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0899,E,ycam,putative transporter YcaM,process,transmembrane transport,Metabolism,Amino acid transport and metabolism
b0899,E,ycam,putative transporter YcaM,component,plasma membrane,Metabolism,Amino acid transport and metabolism
b0899,E,ycam,putative transporter YcaM,component,integral component of membrane,Metabolism,Amino acid transport and metabolism
b0899,E,ycam,putative transporter YcaM,component,membrane,Metabolism,Amino acid transport and metabolism
b0899,E,ycam,putative transporter YcaM,function,transmembrane transporter activity,Metabolism,Amino acid transport and metabolism
b0900,No Annotation,ycan,putative LysR-type transcriptional regulator YcaN,process,"regulation of transcription, DNA-templated",No Annotation,No Annotation
b0900,No Annotation,ycan,putative LysR-type transcriptional regulator YcaN,process,"transcription, DNA-templated",No Annotation,No Annotation
b0900,No Annotation,ycan,putative LysR-type transcriptional regulator YcaN,component,cytosol,No Annotation,No Annotation
b0900,No Annotation,ycan,putative LysR-type transcriptional regulator YcaN,function,DNA-binding transcription factor activity,No Annotation,No Annotation
b0900,No Annotation,ycan,putative LysR-type transcriptional regulator YcaN,function,DNA binding,No Annotation,No Annotation
b0905,S,ycao,ribosomal protein S12 methylthiotransferase accessory factor YcaO,process,peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid,Poorly Characterized,Function unknown
b0905,S,ycao,ribosomal protein S12 methylthiotransferase accessory factor YcaO,component,cytosol,Poorly Characterized,Function unknown
b0905,S,ycao,ribosomal protein S12 methylthiotransferase accessory factor YcaO,function,magnesium ion binding,Poorly Characterized,Function unknown
b0905,S,ycao,ribosomal protein S12 methylthiotransferase accessory factor YcaO,function,ATP diphosphatase activity,Poorly Characterized,Function unknown
b0906,S,ycap,DUF421 domain-containing protein YcaP,process,No Ontology,Poorly Characterized,Function unknown
b0906,S,ycap,DUF421 domain-containing protein YcaP,component,plasma membrane,Poorly Characterized,Function unknown
b0906,S,ycap,DUF421 domain-containing protein YcaP,component,integral component of membrane,Poorly Characterized,Function unknown
b0906,S,ycap,DUF421 domain-containing protein YcaP,component,membrane,Poorly Characterized,Function unknown
b0906,S,ycap,DUF421 domain-containing protein YcaP,function,No Ontology,Poorly Characterized,Function unknown
b0916,S,ycaq,winged helix DNA-binding domain-containing protein YcaQ,process,No Ontology,Poorly Characterized,Function unknown
b0916,S,ycaq,winged helix DNA-binding domain-containing protein YcaQ,component,cytosol,Poorly Characterized,Function unknown
b0916,S,ycaq,winged helix DNA-binding domain-containing protein YcaQ,function,No Ontology,Poorly Characterized,Function unknown
b0917,S,ycar,UPF0434 family protein YcaR,process,No Ontology,Poorly Characterized,Function unknown
b0917,S,ycar,UPF0434 family protein YcaR,component,cytosol,Poorly Characterized,Function unknown
b0917,S,ycar,UPF0434 family protein YcaR,function,No Ontology,Poorly Characterized,Function unknown
b0944,N,ycbf,putative fimbrial chaperone YcbF,process,chaperone-mediated protein folding,Cellular Processes and Signaling,Cell motility
b0944,N,ycbf,putative fimbrial chaperone YcbF,process,cell wall organization,Cellular Processes and Signaling,Cell motility
b0944,N,ycbf,putative fimbrial chaperone YcbF,process,pilus organization,Cellular Processes and Signaling,Cell motility
b0944,N,ycbf,putative fimbrial chaperone YcbF,component,outer membrane-bounded periplasmic space,Cellular Processes and Signaling,Cell motility
b0944,N,ycbf,putative fimbrial chaperone YcbF,component,periplasmic space,Cellular Processes and Signaling,Cell motility
b0944,N,ycbf,putative fimbrial chaperone YcbF,function,No Ontology,Cellular Processes and Signaling,Cell motility
b0919,No Annotation,ycbj,putative phosphotransferase YcbJ,process,No Ontology,No Annotation,No Annotation
b0919,No Annotation,ycbj,putative phosphotransferase YcbJ,component,cytosol,No Annotation,No Annotation
b0919,No Annotation,ycbj,putative phosphotransferase YcbJ,function,No Ontology,No Annotation,No Annotation
b0942,No Annotation,ycbu,putative fimbrial protein YcbU,process,pilus organization,No Annotation,No Annotation
b0942,No Annotation,ycbu,putative fimbrial protein YcbU,process,cell adhesion,No Annotation,No Annotation
b0942,No Annotation,ycbu,putative fimbrial protein YcbU,process,cell adhesion involved in single-species biofilm formation,No Annotation,No Annotation
b0942,No Annotation,ycbu,putative fimbrial protein YcbU,component,extracellular region,No Annotation,No Annotation
b0942,No Annotation,ycbu,putative fimbrial protein YcbU,component,pilus,No Annotation,No Annotation
b0942,No Annotation,ycbu,putative fimbrial protein YcbU,function,No Ontology,No Annotation,No Annotation
b0943,No Annotation,ycbv,putative fimbrial protein YcbV,process,pilus organization,No Annotation,No Annotation
b0943,No Annotation,ycbv,putative fimbrial protein YcbV,process,cell adhesion,No Annotation,No Annotation
b0943,No Annotation,ycbv,putative fimbrial protein YcbV,process,cell adhesion involved in single-species biofilm formation,No Annotation,No Annotation
b0943,No Annotation,ycbv,putative fimbrial protein YcbV,component,extracellular region,No Annotation,No Annotation
b0943,No Annotation,ycbv,putative fimbrial protein YcbV,component,pilus,No Annotation,No Annotation
b0943,No Annotation,ycbv,putative fimbrial protein YcbV,function,No Ontology,No Annotation,No Annotation
b0947,No Annotation,ycbx,6-<i>N</i>-hydroxylaminopurine resistance protein,process,electron transport chain,No Annotation,No Annotation
b0947,No Annotation,ycbx,6-<i>N</i>-hydroxylaminopurine resistance protein,process,response to toxic substance,No Annotation,No Annotation
b0947,No Annotation,ycbx,6-<i>N</i>-hydroxylaminopurine resistance protein,process,toxin catabolic process,No Annotation,No Annotation
b0947,No Annotation,ycbx,6-<i>N</i>-hydroxylaminopurine resistance protein,component,outer membrane-bounded periplasmic space,No Annotation,No Annotation
b0947,No Annotation,ycbx,6-<i>N</i>-hydroxylaminopurine resistance protein,function,"2 iron, 2 sulfur cluster binding",No Annotation,No Annotation
b0947,No Annotation,ycbx,6-<i>N</i>-hydroxylaminopurine resistance protein,function,iron-sulfur cluster binding,No Annotation,No Annotation
b0947,No Annotation,ycbx,6-<i>N</i>-hydroxylaminopurine resistance protein,function,pyridoxal phosphate binding,No Annotation,No Annotation
b0947,No Annotation,ycbx,6-<i>N</i>-hydroxylaminopurine resistance protein,function,molybdenum ion binding,No Annotation,No Annotation
b0947,No Annotation,ycbx,6-<i>N</i>-hydroxylaminopurine resistance protein,function,electron transfer activity,No Annotation,No Annotation
b0947,No Annotation,ycbx,6-<i>N</i>-hydroxylaminopurine resistance protein,function,catalytic activity,No Annotation,No Annotation
b0947,No Annotation,ycbx,6-<i>N</i>-hydroxylaminopurine resistance protein,function,protein binding,No Annotation,No Annotation
b0955,O,ycbz,putative ATP-dependent protease YcbZ,process,protein catabolic process,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0955,O,ycbz,putative ATP-dependent protease YcbZ,process,proteolysis,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0955,O,ycbz,putative ATP-dependent protease YcbZ,component,cytosol,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0955,O,ycbz,putative ATP-dependent protease YcbZ,function,ATP binding,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0955,O,ycbz,putative ATP-dependent protease YcbZ,function,serine-type endopeptidase activity,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0955,O,ycbz,putative ATP-dependent protease YcbZ,function,ATP-dependent peptidase activity,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0955,O,ycbz,putative ATP-dependent protease YcbZ,function,serine-type peptidase activity,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0955,O,ycbz,putative ATP-dependent protease YcbZ,function,hydrolase activity,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0955,O,ycbz,putative ATP-dependent protease YcbZ,function,peptidase activity,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones"
b0970,R,ycca,modulator of FtsH protease,process,negative regulation of apoptotic process,Poorly Characterized,General function prediction only
b0970,R,ycca,modulator of FtsH protease,process,regulation of proteolysis,Poorly Characterized,General function prediction only
b0970,R,ycca,modulator of FtsH protease,component,membrane,Poorly Characterized,General function prediction only
b0970,R,ycca,modulator of FtsH protease,component,plasma membrane,Poorly Characterized,General function prediction only
b0970,R,ycca,modulator of FtsH protease,component,integral component of membrane,Poorly Characterized,General function prediction only
b0970,R,ycca,modulator of FtsH protease,function,No Ontology,Poorly Characterized,General function prediction only
b1001,No Annotation,ycce,uncharacterized protein YccE,process,No Ontology,No Annotation,No Annotation
b1001,No Annotation,ycce,uncharacterized protein YccE,component,No Ontology,No Annotation,No Annotation
b1001,No Annotation,ycce,uncharacterized protein YccE,function,No Ontology,No Annotation,No Annotation
b0961,S,yccf,PF03733 family inner membrane protein YccF,process,No Ontology,Poorly Characterized,Function unknown
b0961,S,yccf,PF03733 family inner membrane protein YccF,component,plasma membrane,Poorly Characterized,Function unknown
b0961,S,yccf,PF03733 family inner membrane protein YccF,component,integral component of membrane,Poorly Characterized,Function unknown
b0961,S,yccf,PF03733 family inner membrane protein YccF,component,membrane,Poorly Characterized,Function unknown
b0961,S,yccf,PF03733 family inner membrane protein YccF,function,No Ontology,Poorly Characterized,Function unknown
b1003,No Annotation,yccj,PF13993 family protein YccJ,process,No Ontology,No Annotation,No Annotation
b1003,No Annotation,yccj,PF13993 family protein YccJ,component,cytosol,No Annotation,No Annotation
b1003,No Annotation,yccj,PF13993 family protein YccJ,function,No Ontology,No Annotation,No Annotation
b0992,C,yccm,putative 4Fe-4S membrane protein,process,oxidation-reduction process,Metabolism,Energy production and conversion
b0992,C,yccm,putative 4Fe-4S membrane protein,component,plasma membrane,Metabolism,Energy production and conversion
b0992,C,yccm,putative 4Fe-4S membrane protein,component,integral component of membrane,Metabolism,Energy production and conversion
b0992,C,yccm,putative 4Fe-4S membrane protein,component,membrane,Metabolism,Energy production and conversion
b0992,C,yccm,putative 4Fe-4S membrane protein,function,"4 iron, 4 sulfur cluster binding",Metabolism,Energy production and conversion
b0992,C,yccm,putative 4Fe-4S membrane protein,function,iron-sulfur cluster binding,Metabolism,Energy production and conversion
b0992,C,yccm,putative 4Fe-4S membrane protein,function,metal ion binding,Metabolism,Energy production and conversion
b0960,S,yccs,putative transporter YccS,process,transmembrane transport,Poorly Characterized,Function unknown
b0960,S,yccs,putative transporter YccS,component,integral component of plasma membrane,Poorly Characterized,Function unknown
b0960,S,yccs,putative transporter YccS,component,plasma membrane,Poorly Characterized,Function unknown
b0960,S,yccs,putative transporter YccS,component,integral component of membrane,Poorly Characterized,Function unknown
b0960,S,yccs,putative transporter YccS,component,membrane,Poorly Characterized,Function unknown
b0960,S,yccs,putative transporter YccS,function,transmembrane transporter activity,Poorly Characterized,Function unknown
b0964,S,ycct,DUF2057 domain-containing protein YccT,process,No Ontology,Poorly Characterized,Function unknown
b0964,S,ycct,DUF2057 domain-containing protein YccT,component,cytosol,Poorly Characterized,Function unknown
b0964,S,ycct,DUF2057 domain-containing protein YccT,function,No Ontology,Poorly Characterized,Function unknown
b0965,R,yccu,putative CoA-binding protein with NAD(P)-binding Rossmann-fold domain,process,No Ontology,Poorly Characterized,General function prediction only
b0965,R,yccu,putative CoA-binding protein with NAD(P)-binding Rossmann-fold domain,component,cytosol,Poorly Characterized,General function prediction only
b0965,R,yccu,putative CoA-binding protein with NAD(P)-binding Rossmann-fold domain,function,protein binding,Poorly Characterized,General function prediction only
b0965,R,yccu,putative CoA-binding protein with NAD(P)-binding Rossmann-fold domain,function,cofactor binding,Poorly Characterized,General function prediction only
b0968,C,yccx,acylphosphatase,process,response to heat,Metabolism,Energy production and conversion
b0968,C,yccx,acylphosphatase,component,cytosol,Metabolism,Energy production and conversion
